,Country,BirthRate,BusinessTaxRate,CO2Emissions,GDP,HealthExpCapita,InfantMortalityRate,InternetUsage,LendingInterest,LifeExpectancyFemale,MobilePhoneUsage,PopulationTotal,Cluster
528,Lithuania,0.009,49.05165609584215,13212.0,14163949142.0,263.0,0.009,0.2,0.068,78.0,0.5,3443067,2
529,Luxembourg,0.012,49.05165609584215,9417.0,22568793525.0,193.0,0.003,0.4,0.119,82.0,1.1,446175,2
530,"Macedonia, FYR",0.012,49.05165609584215,10935.0,3791306758.0,170.0,0.013,0.2,0.184,76.0,0.2,2074441,2
531,Malta,0.01,49.05165609584215,2299.0,4296164768.0,839.0,0.006,0.3,0.06,81.0,0.7,395969,2
532,Moldova,0.012,49.05165609584215,3986.0,1661818168.0,37.0,0.023,0.0,0.119,71.0,0.1,3623062,2
533,Monaco,0.02,49.05165609584215,8529.0,2905973022.0,193.0,0.004,0.5,0.119,75.0,0.5,32653,2
534,Montenegro,0.013,49.05165609584215,8529.0,1284504509.0,180.0,0.011,0.1,0.119,77.0,0.5,612325,2
535,Netherlands,0.013,49.05165609584215,8529.0,15493320082.0,193.0,0.005,0.6,0.04,81.0,0.8,16148929,2
536,Norway,0.012,49.05165609584215,37429.0,191927027230.0,193.0,0.004,0.7,0.087,82.0,0.8,4538159,1
537,Poland,0.009,49.05165609584215,8529.0,198179425151.0,328.0,0.007,0.2,0.12,79.0,0.4,38230364,1
538,Portugal,0.011,49.05165609584215,66820.0,132285714286.0,1190.0,0.005,0.2,0.119,81.0,0.8,10419631,1
539,Romania,0.01,49.05165609584215,92174.0,45988510814.0,97.0,0.022,0.1,0.119,75.0,0.2,21730496,1
540,Russian Federation,0.01,49.05165609584215,8529.0,15493320082.0,142.0,0.018,0.0,0.157,72.0,0.1,5971526,2
541,San Marino,0.02,49.05165609584215,8529.0,879957210.0,193.0,0.004,0.5,0.08,85.0,0.6,28064,2
542,Serbia,0.01,49.05165609584215,8529.0,15102567925.0,179.0,0.01,0.1,0.197,75.0,0.5,7500031,2
543,Slovak Republic,0.01,49.05165609584215,39252.0,34638306042.0,256.0,0.009,0.4,0.103,78.0,0.5,5376912,2
544,Slovenia,0.009,49.05165609584215,15420.0,23136352386.0,1000.0,0.004,0.3,0.132,80.0,0.8,1994530,2
545,Spain,0.01,49.05165609584215,8529.0,15493320082.0,1215.0,0.005,0.2,0.043,83.0,0.8,41431558,2
546,Sweden,0.011,49.05165609584215,57425.0,15493320082.0,193.0,0.003,0.7,0.056,82.0,0.9,8924958,1
547,Switzerland,0.01,49.05165609584215,40718.0,15493320082.0,193.0,0.005,0.6,0.039,83.0,0.8,7284753,2
548,Turkey,0.021,49.05165609584215,8529.0,15493320082.0,180.0,0.03,0.1,0.119,75.0,0.4,5971526,2
549,Ukraine,0.009,49.05165609584215,8529.0,42392896031.0,55.0,0.014,0.0,0.119,74.0,0.1,48202500,1
550,United Kingdom,0.011,49.05165609584215,8529.0,15493320082.0,193.0,0.005,0.6,0.04,81.0,0.8,5971526,2
551,Bahrain,0.02,49.05165609584215,15698.0,9632411109.0,510.0,0.01,0.2,0.084,76.0,0.5,732541,2
552,"Iran, Islamic Rep.",0.018,49.05165609584215,8529.0,116420833374.0,102.0,0.026,0.0,0.119,72.0,0.0,5971526,1
553,Iraq,0.035,49.05165609584215,87260.0,15493320082.0,9.0,0.035,0.0,0.119,73.0,0.0,25238267,0
554,Israel,0.021,49.05165609584215,63146.0,112974376293.0,193.0,0.005,0.2,0.099,82.0,1.0,6570000,1
555,Jordan,0.031,49.05165609584215,16887.0,9580161951.0,189.0,0.022,0.1,0.102,74.0,0.2,5038000,2
556,Kuwait,0.022,49.05165609584215,52753.0,38138801497.0,661.0,0.011,0.1,0.065,74.0,0.6,2048232,1
557,Lebanon,0.017,49.05165609584215,16039.0,19152238806.0,546.0,0.015,0.1,0.166,77.0,0.2,3515604,1
558,Oman,0.023,49.05165609584215,25471.0,20049414986.0,278.0,0.013,0.1,0.085,75.0,0.2,2308409,2
559,Qatar,0.018,49.05165609584215,28482.0,19363735706.0,833.0,0.01,0.1,0.119,78.0,0.4,629745,2
560,Saudi Arabia,0.025,49.05165609584215,8529.0,188551196399.0,375.0,0.018,0.1,0.119,75.0,0.2,21825217,1
561,Syrian Arab Republic,0.029,49.05165609584215,39068.0,21582248882.0,57.0,0.018,0.0,0.09,76.0,0.0,16994676,0
562,United Arab Emirates,0.016,49.05165609584215,84704.0,109816204634.0,917.0,0.009,0.3,0.119,76.0,0.8,3223969,1
563,"Yemen, Rep.",0.038,49.05165609584215,15764.0,10693278292.0,27.0,0.064,0.0,0.177,62.0,0.0,18551068,0
564,American Samoa,0.02,49.05165609584215,8529.0,15493320082.0,193.0,0.02,0.1,0.119,75.0,0.0,58729,2
565,Australia,0.013,49.05165609584215,8529.0,15493320082.0,193.0,0.005,0.1,0.082,83.0,0.6,19651400,2
566,Fiji,0.024,49.05165609584215,836.0,1842691481.0,79.0,0.02,0.1,0.081,71.0,0.1,816237,0
567,French Polynesia,0.019,49.05165609584215,737.0,15493320082.0,193.0,0.02,0.1,0.119,76.0,0.2,245032,2
568,Guam,0.021,49.05165609584215,8529.0,15493320082.0,193.0,0.02,0.3,0.119,78.0,0.4,157241,2
569,Kiribati,0.027,49.05165609584215,40.0,72259046.0,76.0,0.052,0.0,0.119,68.0,0.0,85799,0
570,Marshall Islands,0.02,49.05165609584215,84.0,124735072.0,418.0,0.033,0.0,0.119,75.0,0.0,52161,2
571,"Micronesia, Fed. Sts.",0.028,49.05165609584215,147.0,241543396.0,178.0,0.04,0.1,0.153,68.0,0.0,106983,0
572,New Caledonia,0.019,49.05165609584215,2428.0,15493320082.0,193.0,0.02,0.2,0.119,79.0,0.4,221490,2
573,New Zealand,0.014,49.05165609584215,33201.0,66021205382.0,1244.0,0.006,0.6,0.072,81.0,0.6,3948500,1
574,Papua New Guinea,0.034,49.05165609584215,3513.0,2999542369.0,24.0,0.057,0.0,0.139,62.0,0.0,5660267,0
575,Samoa,0.03,49.05165609584215,143.0,256677700.0,83.0,0.018,0.0,0.114,73.0,0.0,176592,0
576,Solomon Islands,0.035,49.05165609584215,172.0,341663054.0,48.0,0.029,0.0,0.146,66.0,0.0,434880,0
577,Tonga,0.029,49.05165609584215,147.0,181801947.0,92.0,0.015,0.0,0.114,73.0,0.0,99083,0
578,Vanuatu,0.031,49.05165609584215,84.0,262603782.0,52.0,0.019,0.0,0.074,70.0,0.0,193950,0
579,Antigua and Barbuda,0.02,49.05165609584215,363.0,806505874.0,433.0,0.012,0.1,0.114,76.0,0.5,80030,2
580,Argentina,0.018,49.05165609584215,8529.0,123607470069.0,225.0,0.017,0.1,0.119,78.0,0.2,37627545,1
581,Aruba,0.013,49.05165609584215,2255.0,1941094972.0,193.0,0.02,0.2,0.131,76.0,0.7,94995,2
582,"Bahamas, The",0.016,49.05165609584215,1577.0,6957996000.0,1183.0,0.013,0.2,0.06,76.0,0.4,309039,2
583,Barbados,0.013,49.05165609584215,1228.0,3168600000.0,677.0,0.015,0.3,0.085,76.0,0.4,269524,2
584,Belize,0.028,49.05165609584215,359.0,932676403.0,162.0,0.02,0.1,0.148,75.0,0.2,251766,0
585,Bermuda,0.013,49.05165609584215,524.0,3937228000.0,193.0,0.02,0.5,0.119,81.0,0.5,62912,2
586,Bolivia,0.03,49.05165609584215,9567.0,7905485216.0,58.0,0.052,0.0,0.206,66.0,0.1,8843350,0
587,Brazil,0.02,49.05165609584215,8529.0,15493320082.0,203.0,0.025,0.1,0.119,75.0,0.2,5971526,1
588,Canada,0.011,49.05165609584215,8529.0,15493320082.0,193.0,0.005,0.6,0.042,82.0,0.4,31362000,2
589,Cayman Islands,0.02,49.05165609584215,469.0,15493320082.0,193.0,0.02,0.1,0.119,75.0,0.4,44742,2
590,Chile,0.016,49.05165609584215,55361.0,70984568429.0,331.0,0.008,0.2,0.078,81.0,0.4,15819522,1
591,Colombia,0.022,49.05165609584215,55661.0,97933392356.0,135.0,0.02,0.0,0.163,75.0,0.1,41216304,1
592,Costa Rica,0.019,49.05165609584215,6326.0,16844378578.0,332.0,0.01,0.2,0.119,80.0,0.1,4093840,2
593,Cuba,0.012,49.05165609584215,26091.0,33590400000.0,195.0,0.006,0.0,0.119,79.0,0.0,11212125,2
594,Curacao,0.02,49.05165609584215,8529.0,15493320082.0,193.0,0.02,0.1,0.119,75.0,0.5,128804,2
595,Dominica,0.015,49.05165609584215,103.0,326998081.0,237.0,0.013,0.2,0.11,79.0,0.2,69806,2
596,Dominican Republic,0.024,49.05165609584215,21500.0,26570402719.0,176.0,0.032,0.1,0.119,74.0,0.2,8935261,2
597,Ecuador,0.025,49.05165609584215,24690.0,28548945000.0,105.0,0.026,0.0,0.158,77.0,0.1,13030041,0
598,El Salvador,0.023,49.05165609584215,6040.0,14306700000.0,184.0,0.024,0.0,0.119,75.0,0.1,6008308,0
599,Greenland,0.017,49.05165609584215,539.0,1169136691.0,193.0,0.02,0.4,0.119,71.0,0.4,56609,2
600,Grenada,0.019,49.05165609584215,205.0,544381962.0,353.0,0.013,0.1,0.113,73.0,0.1,102099,2
601,Guatemala,0.036,49.05165609584215,11096.0,20776536920.0,110.0,0.037,0.0,0.169,72.0,0.1,11765738,0
602,Guyana,0.022,49.05165609584215,1580.0,722460912.0,56.0,0.037,0.1,0.163,67.0,0.1,750629,0
603,Haiti,0.03,49.05165609584215,1826.0,3214632479.0,20.0,0.071,0.0,0.119,60.0,0.0,8859635,0
604,Honduras,0.03,49.05165609584215,6091.0,7776459964.0,88.0,0.029,0.0,0.227,73.0,0.1,6495801,0
605,Jamaica,0.018,49.05165609584215,10301.0,9718989517.0,180.0,0.019,0.1,0.185,74.0,0.5,2615253,2
606,Mexico,0.023,49.05165609584215,8529.0,15493320082.0,396.0,0.019,0.1,0.082,77.0,0.2,5971526,2
607,Nicaragua,0.027,49.05165609584215,4037.0,5224213019.0,57.0,0.03,0.0,0.183,74.0,0.0,5248577,0
608,Panama,0.023,49.05165609584215,5871.0,12272400000.0,310.0,0.021,0.1,0.106,78.0,0.2,3178450,2
609,Paraguay,0.027,49.05165609584215,3898.0,6325151760.0,79.0,0.026,0.0,0.119,73.0,0.3,5571371,0
610,Peru,0.023,49.05165609584215,27187.0,53992755100.0,102.0,0.026,0.1,0.208,74.0,0.1,26729909,0
611,Puerto Rico,0.014,49.05165609584215,8529.0,72546194000.0,193.0,0.02,0.2,0.119,82.0,0.4,3823701,1
612,Sint Maarten (Dutch part),0.02,49.05165609584215,8529.0,15493320082.0,193.0,0.02,0.1,0.119,75.0,0.5,32566,2
613,St. Kitts and Nevis,0.017,49.05165609584215,198.0,478067954.0,374.0,0.012,0.2,0.109,74.0,0.1,46934,2
614,St. Lucia,0.018,49.05165609584215,326.0,723027643.0,289.0,0.015,0.1,0.126,74.0,0.1,160217,2
616,St. Vincent and the Grenadines,0.019,49.05165609584215,187.0,462641610.0,168.0,0.019,0.1,0.116,73.0,0.1,108150,2
617,Suriname,0.022,49.05165609584215,2252.0,1078402128.0,161.0,0.029,0.0,0.222,72.0,0.2,480099,0
618,Trinidad and Tobago,0.015,49.05165609584215,26890.0,9008273516.0,352.0,0.025,0.2,0.125,73.0,0.2,1277723,2
619,Turks and Caicos Islands,0.02,49.05165609584215,99.0,15493320082.0,193.0,0.02,0.1,0.119,75.0,0.5,21740,2
620,United States,0.014,49.05165609584215,8529.0,15493320082.0,193.0,0.007,0.6,0.047,80.0,0.5,5971526,2
621,Uruguay,0.016,49.05165609584215,4620.0,13606494599.0,449.0,0.014,0.1,0.119,79.0,0.2,3327500,2
622,"Venezuela, RB",0.023,49.05165609584215,8529.0,92889586976.0,207.0,0.017,0.0,0.119,76.0,0.3,25333622,1
623,Virgin Islands (U.S.),0.015,49.05165609584215,8529.0,15493320082.0,193.0,0.02,0.3,0.119,81.0,0.4,108208,2
624,Algeria,0.02,49.05165609584215,92533.0,67863832648.0,74.0,0.031,0.0,0.081,71.0,0.0,33003442,1
625,Angola,0.05,49.05165609584215,9065.0,14188949240.0,45.0,0.02,0.0,0.119,49.0,0.0,15421075,0
626,Benin,0.041,49.05165609584215,2321.0,3557229702.0,21.0,0.082,0.0,0.119,58.0,0.0,7665681,0
627,Botswana,0.026,49.05165609584215,4265.0,7511538765.0,190.0,0.051,0.0,0.164,48.0,0.2,1832602,0
628,Burkina Faso,0.045,49.05165609584215,1078.0,4205691122.0,19.0,0.091,0.0,0.119,53.0,0.0,12659086,0
629,Burundi,0.043,49.05165609584215,165.0,784654424.0,6.0,0.082,0.0,0.182,50.0,0.0,7264340,0
630,Cameroon,0.041,49.05165609584215,3795.0,13621809574.0,39.0,0.084,0.0,0.18,53.0,0.1,17223277,0
631,Central African Republic,0.038,49.05165609584215,235.0,1139754772.0,13.0,0.02,0.0,0.18,46.0,0.0,3829636,0
632,Chad,0.05,49.05165609584215,381.0,2736666451.0,17.0,0.103,0.0,0.18,48.0,0.0,9311234,0
633,Comoros,0.039,49.05165609584215,99.0,324470869.0,21.0,0.072,0.0,0.118,60.0,0.0,570491,0
634,"Congo, Dem. Rep.",0.047,49.05165609584215,1698.0,8937565919.0,6.0,0.02,0.0,0.119,49.0,0.0,5971526,0
635,"Congo, Rep.",0.039,49.05165609584215,1085.0,3495868725.0,27.0,0.07,0.0,0.18,54.0,0.1,3363418,0
636,Cote d'Ivoire,0.037,49.05165609584215,5460.0,13737482343.0,42.0,0.094,0.0,0.119,47.0,0.1,16909801,0
637,Djibouti,0.029,49.05165609584215,407.0,622044666.0,50.0,0.075,0.0,0.113,59.0,0.0,755085,0
638,"Egypt, Arab Rep.",0.024,49.05165609584215,8529.0,82923680622.0,56.0,0.029,0.0,0.135,72.0,0.1,5971526,1
639,Equatorial Guinea,0.038,49.05165609584215,6018.0,2484745876.0,101.0,0.092,0.0,0.18,49.0,0.1,568552,0
640,Eritrea,0.04,49.05165609584215,726.0,870247702.0,6.0,0.051,0.1,0.119,60.0,0.5,4472533,0
641,Ethiopia,0.041,49.05165609584215,4947.0,8465744001.0,6.0,0.079,0.0,0.07,55.0,0.0,5971526,0
642,Gabon,0.033,49.05165609584215,1335.0,6054883172.0,174.0,0.053,0.0,0.18,61.0,0.2,1315820,0
643,"Gambia, The",0.045,49.05165609584215,315.0,487038678.0,15.0,0.059,0.0,0.119,57.0,0.1,1348548,0
644,Ghana,0.034,49.05165609584215,7631.0,7632720680.0,18.0,0.06,0.0,0.119,59.0,0.0,20301686,0
645,Guinea,0.041,49.05165609584215,1342.0,3446442219.0,18.0,0.092,0.0,0.119,52.0,0.0,9204581,0
646,Guinea-Bissau,0.041,49.05165609584215,194.0,465414408.0,20.0,0.101,0.0,0.119,53.0,0.0,1360559,0
647,Kenya,0.039,49.05165609584215,6755.0,14904504019.0,20.0,0.065,0.0,0.166,54.0,0.0,33905011,0
648,Lesotho,0.03,49.05165609584215,8529.0,969181551.0,36.0,0.083,0.0,0.16,44.0,0.1,1898757,0
649,Liberia,0.041,49.05165609584215,532.0,409000000.0,5.0,0.097,0.0,0.171,54.0,0.0,3124222,0
650,Libya,0.023,49.05165609584215,49167.0,24062500000.0,194.0,0.022,0.0,0.07,75.0,0.0,5422612,2
651,Madagascar,0.039,49.05165609584215,1701.0,5474030228.0,15.0,0.061,0.0,0.119,62.0,0.0,17245275,0
652,Malawi,0.043,49.05165609584215,957.0,2424656666.0,13.0,0.084,0.0,0.119,47.0,0.0,12238739,0
653,Mali,0.048,49.05165609584215,539.0,4362439887.0,24.0,0.105,0.0,0.119,50.0,0.0,11219737,0
654,Mauritania,0.037,49.05165609584215,1474.0,1563072653.0,23.0,0.076,0.0,0.21,62.0,0.1,2965667,0
655,Mauritius,0.016,49.05165609584215,3146.0,5609836354.0,188.0,0.014,0.1,0.21,76.0,0.4,1222811,2
656,Morocco,0.021,49.05165609584215,37561.0,49822651702.0,88.0,0.038,0.0,0.126,70.0,0.2,29586937,1
657,Mozambique,0.045,49.05165609584215,1918.0,4666197195.0,15.0,0.099,0.0,0.119,49.0,0.0,19873460,0
658,Namibia,0.03,49.05165609584215,1874.0,4931280096.0,162.0,0.049,0.0,0.147,56.0,0.1,1981237,0
659,Niger,0.052,49.05165609584215,880.0,2731416281.0,15.0,0.09,0.0,0.119,53.0,0.0,12254040,0
660,Nigeria,0.043,49.05165609584215,93138.0,67655840108.0,39.0,0.103,0.0,0.207,48.0,0.0,5971526,0
661,Rwanda,0.039,49.05165609584215,682.0,1845979351.0,13.0,0.083,0.0,0.171,53.0,0.0,9126167,0
662,Sao Tome and Principe,0.037,49.05165609584215,66.0,101315400.0,78.0,0.052,0.1,0.119,66.0,0.0,147455,0
663,Senegal,0.039,49.05165609584215,5013.0,6858952717.0,35.0,0.062,0.0,0.119,61.0,0.1,10673535,0
664,Seychelles,0.018,49.05165609584215,557.0,703096503.0,403.0,0.012,0.1,0.106,76.0,0.6,82800,2
665,Sierra Leone,0.043,49.05165609584215,653.0,1371442566.0,45.0,0.02,0.0,0.2,41.0,0.0,4712763,0
666,Somalia,0.047,49.05165609584215,576.0,15493320082.0,193.0,0.105,0.0,0.119,53.0,0.0,8037706,0
667,South Africa,0.023,49.05165609584215,8529.0,168219325184.0,310.0,0.053,0.1,0.15,54.0,0.4,46409243,1
668,South Sudan,0.041,49.05165609584215,8529.0,15493320082.0,193.0,0.095,0.1,0.119,51.0,0.5,7449905,0
669,Sudan,0.039,49.05165609584215,9072.0,17646271397.0,23.0,0.064,0.0,0.119,61.0,0.0,29973979,0
670,Swaziland,0.032,49.05165609584215,1041.0,1854020496.0,98.0,0.082,0.0,0.146,46.0,0.1,1087929,0
671,Tanzania,0.042,49.05165609584215,3806.0,11659129815.0,12.0,0.066,0.0,0.145,53.0,0.0,36760831,0
672,Togo,0.039,49.05165609584215,1463.0,1673690390.0,18.0,0.072,0.0,0.119,55.0,0.0,5258956,0
673,Tunisia,0.017,49.05165609584215,21397.0,27453084983.0,151.0,0.022,0.1,0.119,75.0,0.2,9839800,2
674,Uganda,0.047,49.05165609584215,1709.0,6336696289.0,18.0,0.077,0.0,0.189,51.0,0.0,26838428,0
675,Zambia,0.045,49.05165609584215,2101.0,4341841414.0,27.0,0.086,0.0,0.119,45.0,0.0,10894519,0
676,Zimbabwe,0.032,49.05165609584215,10627.0,5727591778.0,193.0,0.058,0.1,0.119,42.0,0.0,12673103,0
677,Afghanistan,0.047,49.05165609584215,583.0,4583648922.0,18.0,0.088,0.0,0.119,57.0,0.0,23116142,0
678,Armenia,0.014,49.05165609584215,3429.0,2807061009.0,51.0,0.023,0.0,0.208,76.0,0.0,3036032,2
679,Azerbaijan,0.014,49.05165609584215,30616.0,7275766111.0,57.0,0.05,0.1,0.155,71.0,0.1,8234100,2
680,Bangladesh,0.025,49.05165609584215,33883.0,51913661485.0,11.0,0.056,0.0,0.16,67.0,0.0,5971526,0
681,Bhutan,0.025,49.05165609584215,378.0,622026107.0,51.0,0.051,0.0,0.15,63.0,0.0,616383,0
682,Brunei Darussalam,0.021,49.05165609584215,5357.0,6557333067.0,575.0,0.008,0.2,0.055,79.0,0.5,353649,2
683,Cambodia,0.026,49.05165609584215,2380.0,4658246907.0,26.0,0.063,0.0,0.119,68.0,0.0,12934369,0
684,China,0.012,49.05165609584215,8529.0,15493320082.0,61.0,0.024,0.1,0.053,75.0,0.2,5971526,2
685,Georgia,0.012,49.05165609584215,3773.0,3991374540.0,74.0,0.026,0.0,0.119,76.0,0.2,4328900,2
686,"Hong Kong SAR, China",0.007,49.05165609584215,40066.0,161384522525.0,193.0,0.02,0.5,0.05,84.0,1.1,6730800,1
687,India,0.024,49.05165609584215,8529.0,15493320082.0,24.0,0.06,0.0,0.115,65.0,0.0,5971526,0
688,Indonesia,0.021,49.05165609584215,8529.0,15493320082.0,27.0,0.036,0.0,0.169,70.0,0.1,5971526,0
689,Japan,0.009,49.05165609584215,8529.0,15493320082.0,193.0,0.003,0.5,0.018,85.0,0.7,5971526,2
690,Kazakhstan,0.017,49.05165609584215,8529.0,30833692831.0,77.0,0.032,0.0,0.119,72.0,0.1,14909018,1
691,"Korea, Dem. Rep.",0.016,49.05165609584215,77777.0,15493320082.0,193.0,0.03,0.1,0.119,71.0,0.5,23449180,1
692,"Korea, Rep.",0.01,49.05165609584215,8529.0,15493320082.0,695.0,0.005,0.7,0.062,81.0,0.7,47859311,2
693,Kyrgyz Republic,0.021,49.05165609584215,5328.0,1919012781.0,21.0,0.037,0.0,0.191,72.0,0.0,5043300,0
694,Lao PDR,0.029,49.05165609584215,1129.0,2023324407.0,18.0,0.075,0.0,0.119,65.0,0.0,5619069,0
695,"Macao SAR, China",0.008,49.05165609584215,1536.0,7926373572.0,193.0,0.02,0.3,0.06,81.0,0.8,450711,2
696,Malaysia,0.02,49.05165609584215,8529.0,110202368421.0,172.0,0.007,0.4,0.063,76.0,0.4,24890654,1
697,Maldives,0.022,49.05165609584215,598.0,949867662.0,199.0,0.025,0.1,0.14,74.0,0.2,287594,0
698,Mongolia,0.019,49.05165609584215,8034.0,1595297301.0,48.0,0.042,0.1,0.119,68.0,0.1,2468595,0
699,Myanmar,0.02,49.05165609584215,9846.0,15493320082.0,4.0,0.054,0.0,0.15,65.0,0.0,5971526,0
700,Nepal,0.03,49.05165609584215,2952.0,6330476435.0,14.0,0.052,0.0,0.074,65.0,0.0,24525527,0
701,Pakistan,0.029,49.05165609584215,8529.0,83244801093.0,16.0,0.083,0.1,0.119,65.0,0.0,5971526,0
702,Philippines,0.028,49.05165609584215,71532.0,83908205720.0,33.0,0.029,0.0,0.095,71.0,0.3,5971526,1
703,Singapore,0.011,49.05165609584215,31133.0,97002305536.0,823.0,0.003,0.5,0.053,82.0,0.8,4114800,1
704,Sri Lanka,0.019,49.05165609584215,10660.0,18881765437.0,38.0,0.013,0.0,0.103,77.0,0.1,19173000,2
705,Tajikistan,0.029,49.05165609584215,2076.0,1554125543.0,11.0,0.061,0.0,0.167,69.0,0.0,6529609,0
706,Thailand,0.013,49.05165609584215,8529.0,142640079033.0,79.0,0.017,0.1,0.059,75.0,0.3,5971526,1
707,Timor-Leste,0.039,49.05165609584215,161.0,436500000.0,24.0,0.072,0.1,0.167,63.0,0.0,933369,0
708,Turkmenistan,0.023,49.05165609584215,42215.0,5977440583.0,95.0,0.062,0.0,0.119,68.0,0.0,4648037,0
709,Uzbekistan,0.02,49.05165609584215,8529.0,10128112401.0,20.0,0.049,0.0,0.119,71.0,0.0,25567650,0
710,Vietnam,0.017,49.05165609584215,78767.0,42717072778.0,25.0,0.025,0.0,0.095,79.0,0.0,5971526,1
711,Albania,0.016,49.05165609584215,4294.0,5652325082.0,108.0,0.02,0.0,0.143,79.0,0.3,3033659,2
712,Andorra,0.01,49.05165609584215,535.0,1917948475.0,193.0,0.003,0.1,0.119,75.0,0.7,75643,2
713,Austria,0.01,49.05165609584215,72317.0,15493320082.0,193.0,0.004,0.4,0.119,82.0,0.9,8121423,1
714,Belarus,0.009,49.05165609584215,53722.0,17825436035.0,120.0,0.009,0.1,0.119,75.0,0.1,9797000,2
715,Belgium,0.011,49.05165609584215,8529.0,15493320082.0,193.0,0.004,0.5,0.069,81.0,0.8,10376133,2
716,Bosnia and Herzegovina,0.009,49.05165609584215,23238.0,8370020196.0,174.0,0.007,0.0,0.109,78.0,0.3,3895779,2
717,Bulgaria,0.009,49.05165609584215,47308.0,20668176834.0,201.0,0.016,0.1,0.085,76.0,0.4,7823557,1
718,Croatia,0.009,49.05165609584215,23542.0,34143409062.0,495.0,0.006,0.2,0.116,78.0,0.6,4440000,1
719,Cyprus,0.012,49.05165609584215,7748.0,13319544758.0,1235.0,0.005,0.3,0.069,81.0,0.6,998142,2
720,Czech Republic,0.009,49.05165609584215,8529.0,95292530753.0,666.0,0.005,0.3,0.059,79.0,1.0,10193998,1
721,Denmark,0.012,49.05165609584215,55735.0,212621855883.0,193.0,0.004,0.8,0.119,80.0,0.9,5390574,1
722,Estonia,0.01,49.05165609584215,17052.0,9845187817.0,352.0,0.007,0.5,0.055,77.0,0.8,1370720,2
723,Faeroe Islands,0.02,49.05165609584215,777.0,1486861879.0,193.0,0.02,0.6,0.119,82.0,0.8,48308,2
724,Finland,0.011,49.05165609584215,68888.0,164256207675.0,193.0,0.003,0.7,0.041,82.0,0.9,5213014,1
725,France,0.013,49.05165609584215,8529.0,15493320082.0,193.0,0.004,0.4,0.066,83.0,0.7,5971526,2
726,Germany,0.009,49.05165609584215,8529.0,15493320082.0,193.0,0.004,0.6,0.119,81.0,0.8,5971526,2
727,Greece,0.01,49.05165609584215,95738.0,192850270290.0,193.0,0.006,0.2,0.068,81.0,0.8,11018324,1
728,Hungary,0.009,49.05165609584215,59072.0,83538373061.0,706.0,0.008,0.2,0.096,77.0,0.8,10129552,1
729,Iceland,0.014,49.05165609584215,2167.0,10969898924.0,193.0,0.003,0.8,0.12,83.0,1.0,289521,2
730,Ireland,0.015,49.05165609584215,43337.0,158730360073.0,193.0,0.005,0.3,0.028,81.0,0.9,3996521,1
731,Isle of Man,0.02,49.05165609584215,8529.0,2264911807.0,193.0,0.02,0.1,0.119,75.0,0.5,79001,2
732,Italy,0.009,49.05165609584215,8529.0,15493320082.0,193.0,0.004,0.3,0.058,83.0,1.0,5971526,2
734,Latvia,0.009,49.05165609584215,7088.0,11186452601.0,295.0,0.012,0.3,0.054,77.0,0.5,2287955,2
735,Liechtenstein,0.01,49.05165609584215,8529.0,3070803431.0,193.0,0.02,0.6,0.119,82.0,0.7,34141,2
736,Lithuania,0.009,49.05165609584215,12915.0,18608709857.0,351.0,0.009,0.3,0.058,78.0,0.6,3415213,2
737,Luxembourg,0.012,49.05165609584215,9905.0,29144582393.0,193.0,0.003,0.5,0.119,81.0,1.2,451630,2
738,"Macedonia, FYR",0.012,49.05165609584215,11309.0,4756221629.0,212.0,0.013,0.2,0.16,76.0,0.4,2080866,2
739,Malta,0.01,49.05165609584215,2582.0,5119621569.0,1074.0,0.006,0.3,0.059,81.0,0.7,398582,2
740,Moldova,0.012,49.05165609584215,4290.0,1980901554.0,46.0,0.021,0.1,0.193,72.0,0.1,3612874,2
741,Monaco,0.02,49.05165609584215,8529.0,3588988601.0,193.0,0.004,0.5,0.119,75.0,0.5,32968,2
742,Montenegro,0.013,49.05165609584215,8529.0,1707662608.0,254.0,0.011,0.1,0.119,76.0,0.5,613448,2
743,Netherlands,0.012,49.05165609584215,8529.0,15493320082.0,193.0,0.005,0.6,0.03,81.0,0.8,16225302,2
744,Norway,0.012,49.05165609584215,42625.0,224880794328.0,193.0,0.004,0.8,0.047,82.0,0.9,4564855,1
745,Poland,0.009,49.05165609584215,8529.0,216800888642.0,354.0,0.007,0.2,0.073,79.0,0.5,38204570,1
746,Portugal,0.011,49.05165609584215,61276.0,161931941309.0,193.0,0.004,0.3,0.119,81.0,1.0,10458821,1
747,Romania,0.01,49.05165609584215,95940.0,59466017706.0,146.0,0.021,0.1,0.119,75.0,0.3,21574326,1
748,Russian Federation,0.01,49.05165609584215,8529.0,15493320082.0,167.0,0.017,0.1,0.13,72.0,0.2,5971526,2
749,San Marino,0.02,49.05165609584215,8529.0,1122981525.0,193.0,0.004,0.5,0.075,85.0,0.6,28700,2
750,Serbia,0.011,49.05165609584215,8529.0,19550781969.0,171.0,0.009,0.1,0.155,75.0,0.5,7480591,2
751,Slovak Republic,0.01,49.05165609584215,39494.0,45837416479.0,360.0,0.009,0.4,0.085,78.0,0.7,5373374,2
752,Slovenia,0.009,49.05165609584215,15500.0,29152072068.0,1263.0,0.004,0.3,0.108,81.0,0.9,1995733,2
753,Spain,0.01,49.05165609584215,8529.0,15493320082.0,193.0,0.005,0.4,0.119,83.0,0.9,42187645,2
